REF_DATE,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (acres),Seeded area (hectares),Total farm value (dollars)
1908,0,15,1585,84000,129800,53000,1296
1908,6,29,950,1900,5900,2000,56
1908,10,18,1675,352000,519400,210000,6316
1908,12,23,1665,5000,6500,3000,117
1908,16,0,18100,38100,5200,2100,208
1908,18,0,5050,101000,57100,20000,846
1908,19,25,1690,186000,271000,110000,4617
1908,0,0,0,0,0,0,0
1908,10,0,0,0,0,0,0
1908,19,0,0,0,0,0,0
1908,0,21,1440,1016850,1745700,707100,21353
1908,1,59,1395,33800,59900,24200,1988
1908,2,27,1320,155700,291300,117950,4269
1908,4,20,3935,580600,365800,147600,11834
1908,5,0,25360,2665000,259800,105100,11812
1908,6,38,680,38100,139300,56000,1457
1908,8,26,1650,388750,581900,235550,10140
1908,10,25,1205,3861650,7911100,3200550,96489
1908,11,31,1150,192100,412900,167050,5970
1908,12,29,1065,43902,100300,41281,1262
1908,16,0,22500,98900,10800,4400,578
1908,18,1,3120,10388000,8210900,3326000,121884
1908,19,30,1145,3060250,6610300,2676250,91228
1908,0,18,1390,372000,662500,268000,6705
1908,6,38,790,7100,23400,9000,273
1908,10,21,1290,690000,1322800,535000,14263
1908,11,15,1415,850,1600,600,13
1908,12,20,1000,3000,6300,3000,61
1908,18,0,3900,195000,119200,50000,1592
1908,19,31,1145,1368000,2957000,1197000,41924
1908,0,31,1525,11750,19000,7700,369
1908,8,27,1855,20850,27700,11250,556
1908,10,31,1120,221450,487900,197450,6786
1908,18,1,3470,2211000,1573800,637000,23955
1908,19,38,1085,29950,68400,27650,1150
1908,0,32,1215,1700,3500,1400,55
1908,1,77,1125,900,2000,800,69
1908,2,27,1375,34250,61700,24950,909
1908,5,0,22860,8000,900,350,31
1908,8,27,1440,3100,5300,2150,85
1908,10,33,945,78000,203900,82500,2539
1908,11,43,590,650,2700,1100,28
1908,12,29,1260,102,200,81,3
1908,18,1,3010,845000,694500,281000,8664
1908,19,42,1165,9500,20200,8150,402
1908,0,33,1550,6050,9600,3900,202
1908,1,81,1200,1500,3100,1250,121
1908,2,30,1340,9800,18000,7300,295
1908,5,0,16920,11000,1600,650,36
1908,8,30,1785,5350,7400,3000,161
1908,10,34,1210,65450,133900,54200,2224
1908,11,45,915,550,1500,600,25
1908,12,27,1000,300,700,300,8
1908,18,1,3810,988000,640800,259000,11242
1908,19,39,1170,9750,20600,8350,378
1908,0,24,1530,459900,743800,301000,11217
1908,1,56,1410,24400,42800,17300,1355
1908,2,25,1345,63300,116300,47100,1570
1908,4,20,4120,552000,332200,134000,10871
1908,5,0,26060,2241000,212400,86000,9708
1908,8,24,1770,301600,421000,170400,7315
1908,10,26,1275,1601100,3108400,1257900,41425
1908,11,30,1195,171300,354600,143500,5123
1908,12,28,1020,26200,63400,25700,745
1908,16,0,26400,60800,5600,2300,370
1908,18,1,3270,4706000,3552700,1438000,57160
1908,19,33,1495,491500,812400,328900,16021
1908,21,32,1060,61500,143000,57900,1961
1908,22,33,1585,430000,1310066,0,14060
1908,0,18,1405,498000,873300,354000,8755
1908,6,38,680,38100,139300,56000,1457
1908,10,19,1330,1492000,2772300,1121000,29049
1908,11,15,1415,850,1600,600,13
1908,12,25,1285,9000,15800,7000,223
1908,16,0,18100,38100,5200,2100,208
1908,18,0,4000,320000,190600,80000,2571
1908,19,29,1100,2500000,5624000,2277000,72424
1908,0,28,1665,4000,5900,2400,112
1908,2,25,1500,2400,3900,1600,60
1908,5,0,1667,5000,800,300,22
1908,8,25,2035,12400,15000,6100,310
1908,10,26,1285,78000,150100,60750,2023
