date,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,hosp_patients,icu_patients,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence
636,0,4,6423388,2490,107051,323,60016385,7386,2715,128,55863236,35276326,27381132,12571,19642,1,69,1241418161,67,49,8,16,44313,20,177,16
399,2,7,6550634,6980,481184,697,28666409,6862,1557,335,63799592,67830632,12527528,82753,2713,0,7,114516392,694,30,8,4,8196,20,470,8
650,1,1,4304572,9134,15116,325,80352550,40108,2370,478,68770121,68985000,41476316,48225,8595,0,14,1152898402,784,22,9,18,52607,11,415,14
536,0,3,2234489,7661,20045,624,89212990,91788,318,384,97546509,17081923,68932763,7227,13779,2,70,1342525124,403,42,5,10,23297,4,643,18
487,1,9,9958614,1724,419543,824,5364240,75023,2786,302,31976637,52813396,488830,41189,12164,0,28,744943966,182,26,19,15,56126,5,451,5
783,2,3,9524682,8182,35709,164,67769161,80140,2447,495,19174474,67878019,66479423,14207,1546,1,21,306169513,38,35,12,5,42927,29,436,5
566,1,2,7204212,2767,305761,572,50107235,82963,655,132,94541485,31644235,29921810,78208,2606,0,80,41073572,640,22,5,18,22879,19,603,7
362,1,2,9628519,1137,453355,603,97474358,27201,2614,31,20951549,42834681,44249112,53406,19209,1,94,133425735,276,38,12,3,25584,45,568,8
846,1,1,4472471,4117,157977,797,6986481,68578,776,16,47045186,3273438,6187941,41783,4206,1,23,907512133,469,48,23,3,51474,23,794,3
45,1,0,4523669,3420,457364,454,74336324,49966,585,355,23487580,44909086,6698725,85587,3374,2,31,862953579,392,41,15,3,38954,25,346,5
1,0,5,7404852,5845,203675,968,59884192,54774,779,415,88247219,18968516,22497724,28879,13173,1,71,1066894576,183,26,24,4,47116,46,581,17
686,1,0,4981505,4778,229167,152,5507774,10386,2734,317,15548509,28483123,62045437,28845,14627,1,81,344138879,513,49,15,11,11923,25,217,11
533,2,5,1766891,3906,381923,736,76087778,77228,2745,452,4895344,54559303,25224548,10015,6078,1,99,881433439,464,29,24,16,55301,25,663,6
702,0,9,4521373,3637,305063,126,72347128,15225,978,348,78763398,31900158,40110207,82961,3323,2,27,1344878256,627,33,9,7,23107,18,650,18
216,0,3,6019877,2953,345665,192,86121049,16693,2138,185,61375184,2087444,35179811,21496,8366,1,55,906800642,259,34,10,15,43770,35,608,15
592,1,9,3344769,5929,486121,626,50525451,72197,2025,90,61494227,46212018,45620397,707,14444,0,13,935106993,222,49,18,16,8912,19,183,7
274,0,1,9180351,276,476616,773,77158320,43021,2408,462,74422453,54238735,51011292,17767,7105,1,33,1342321935,816,22,24,18,23177,29,791,15
88,2,4,103355,1999,219222,529,44856075,18261,872,51,92680458,23463086,19490452,26467,17747,1,4,256450043,705,40,21,5,45771,22,759,12
348,1,5,1262752,1227,189518,9,19231255,27378,1503,271,31035322,58601297,21343124,83222,9229,2,21,689158028,774,30,16,5,19920,26,359,13
1012,1,7,9784633,6337,183500,91,56292424,86755,1995,157,10137559,53440589,30490203,7118,15028,0,50,435402720,132,22,6,5,61741,41,504,7
128,2,0,5664789,3735,441110,138,40907614,11937,67,135,85201857,52230692,36060579,63884,7489,1,16,84799838,231,48,12,9,46624,20,722,4
165,2,9,9695979,695,474365,480,46938182,66330,1116,322,98047161,62982543,280570,11213,16304,2,88,205589847,579,37,6,11,61049,11,446,5
291,3,6,9305648,9501,268591,448,28463405,47366,2102,115,84209500,37874900,49738956,97021,19395,2,71,979635778,858,42,11,10,28281,28,519,2
86,3,5,5743066,4152,5499,332,89318449,72322,745,458,40796132,40707264,41091850,81037,2090,1,2,441103456,893,27,10,7,3344,46,522,9
691,3,6,6113790,7901,39041,868,47040823,40160,2881,203,14921354,59104827,66620503,8868,15461,0,87,584731677,833,42,12,13,40753,34,554,8
116,2,0,4721339,7470,293459,339,39708715,45313,81,338,77487670,3644092,31463675,51716,10944,1,97,1024330273,52,44,21,8,24404,15,502,1
627,0,6,9889550,7537,132371,960,90019549,27032,2883,363,51255826,58994813,47417042,94869,148,0,50,255053682,822,32,8,9,31924,48,384,17
929,1,1,3275709,2841,382650,51,81283965,91963,637,341,66675110,20502218,26481694,42523,5098,1,31,24981085,900,37,11,4,47996,17,477,13
898,3,9,84654,4208,498221,706,24999095,17358,138,451,96615380,27991421,39929916,34028,14559,1,26,1297298402,66,49,10,13,49345,49,710,9
740,3,1,5147581,8733,136066,465,49791835,61710,863,115,92946265,2906655,45322818,10545,1133,2,8,603350619,422,45,10,14,2901,9,704,19
373,2,4,1954354,1088,226486,717,31475949,95326,2354,43,69142485,32580085,38899612,357,16737,0,49,1223996576,541,33,12,15,54081,49,640,18
547,0,9,8242680,3363,212235,798,40760705,86157,2266,27,82196746,14679442,48256962,21788,9299,1,5,200974998,240,39,9,18,35052,3,389,2
127,1,2,2428388,24,257831,474,4529458,48821,602,438,33403195,61778743,22553934,16802,18497,1,50,8588889,521,43,23,16,39412,35,650,12
424,1,2,8916786,9764,400705,400,33013055,28365,556,486,43005603,77454596,21286726,54739,14956,1,25,401226423,887,20,13,7,21561,37,371,16
4,0,2,2663046,6144,353791,438,30901994,13189,1921,151,3719931,20791682,38989934,85875,3206,1,47,880981256,868,37,7,7,30037,33,564,4
788,0,6,5499720,5668,294499,877,88214299,76749,1374,346,63452391,13235545,68297999,1593,1109,1,41,1261284295,940,49,14,18,50015,38,497,3
259,1,6,6640913,4236,335949,604,12780593,7248,2372,4,55864616,38602710,43853857,4602,10169,2,30,1276534692,489,48,8,16,54593,23,310,5
661,0,6,3416664,9959,330511,931,15256164,4369,63,94,8053633,68949085,54873387,75113,11131,2,44,1338276768,416,44,9,16,27710,2,417,6
84,1,9,3385659,8068,372050,996,13980901,63763,1828,344,13247416,36239687,12806268,95865,9204,0,47,802650702,669,23,10,15,48687,17,681,19
822,1,4,3385357,2235,379553,921,84664230,8050,2207,32,20093843,21663516,3157094,10943,3106,0,83,1381292912,422,49,7,7,18805,32,738,15
787,0,9,1465689,7295,339499,820,95593256,28605,2984,234,55080981,56162764,55170765,33012,3936,2,66,798383278,51,38,19,17,58409,32,243,2
275,0,1,68148,8392,116220,656,16011986,49616,2039,331,60494207,28386618,64646825,70108,10994,1,43,547021895,722,26,20,5,43077,9,419,15
503,1,4,1825665,8448,221421,597,83804897,54479,677,382,68620390,20232216,13472637,16250,9658,2,90,1390747028,288,40,12,8,54487,12,403,4
234,2,0,2745683,3747,349317,508,55805235,80934,296,226,58270595,38786965,53325557,82169,16340,1,75,533806271,58,45,18,8,33923,24,442,7
491,1,7,4056518,3175,264140,152,59492725,40883,1917,315,78494428,25106925,49207123,44053,11180,0,7,294518216,30,23,12,12,16808,36,783,7
40,0,8,2669995,4897,251071,513,47915328,33055,1545,269,90509421,30982496,45311901,39388,8461,1,15,754999347,932,47,8,10,30616,42,463,6
600,1,6,4997895,5037,306531,502,69431855,68731,2699,26,25759289,51509446,4300398,91707,9723,1,8,1193230925,259,47,12,10,27322,4,681,6
13,0,0,6397986,7427,3089,853,72572626,90987,2192,371,61869527,63997206,32007790,71405,8495,1,31,924947098,453,20,16,12,23957,46,564,15
553,2,8,1870928,8605,360971,900,85563179,7450,1502,86,68140096,15676494,35113623,71507,15344,2,43,746655699,951,47,5,10,15639,46,175,6
441,0,0,4155299,2014,282803,771,18868867,2925,1211,15,56235479,56581473,35843959,49662,13097,1,50,172126264,472,48,18,7,53382,0,586,16
131,1,2,6249859,1381,307322,675,45659566,80051,1216,225,28552761,67516956,69215447,61311,15775,0,85,1128382679,87,21,19,14,6958,25,552,2
288,3,2,2305413,1098,95965,5,47429722,50272,662,432,64975517,19609231,25985626,79493,18316,1,1,329969803,556,28,22,16,62241,29,630,12
181,0,3,3910197,3426,81268,499,93050144,5310,41,75,49077323,36358620,1705873,71504,18424,1,42,305672610,97,31,7,11,13076,27,152,17
725,1,1,5558019,3655,347186,660,42837195,31817,1730,6,81980434,12601174,30367673,86789,7934,1,41,1367275230,104,30,5,14,68611,30,268,2
986,0,4,5414709,7938,368615,716,7124801,92944,616,54,3463357,8019446,19816473,91477,5775,1,94,856023354,852,42,6,12,69204,25,638,13
562,0,5,271836,9101,201798,117,87668956,44528,600,181,41878265,28203531,69048988,56657,9000,1,24,539654429,296,30,23,4,28488,14,359,10
224,2,8,3584702,187,332255,484,1898465,55779,353,290,76155239,44461793,7041607,73183,17331,1,12,930739455,681,48,20,10,69159,4,737,7
448,1,5,7281369,5409,237103,600,22476701,84816,538,96,96107370,38832899,63321248,25499,10484,1,14,116580276,513,49,21,3,60965,10,462,2
918,1,1,2299435,2092,244754,665,21443986,82641,85,400,23659381,32634451,65438075,31785,17149,1,52,1199233616,230,29,15,14,6687,37,100,13
406,1,9,8585377,2130,165637,950,77569041,84083,2022,376,88833475,14210907,60085630,81993,11115,0,39,944001477,522,35,15,11,66365,12,589,6
921,1,9,2658505,5242,362579,678,30549432,76310,1204,347,58185806,28732421,30625443,74536,7172,1,75,1281600558,78,36,10,5,3933,41,459,7
585,1,1,1271741,8549,89242,467,60037717,15457,1674,243,32803411,47685517,33166412,52030,2496,1,32,183740433,353,37,21,12,13552,20,321,14
280,1,4,3769315,5647,375348,160,8537341,42311,1900,182,21189622,62041846,65726672,37909,19946,0,12,342137851,527,31,21,18,41337,20,114,18
246,2,0,1046797,5185,153956,269,79527723,3980,2920,187,97617340,65763502,33542168,34894,17646,2,38,908540194,236,24,12,8,6570,43,239,7
352,0,2,3047262,5776,279343,55,92570665,20886,193,251,43178132,14872128,15835681,84124,6393,1,88,928248346,663,21,11,19,12159,10,213,15
88,1,9,9973006,7913,60038,227,53056654,77112,1251,38,50026013,38237330,2190372,72006,5410,0,40,1007564432,61,23,19,19,66790,9,507,19
111,0,0,564685,7547,57786,848,1120816,50877,713,341,45998871,41866808,19434346,15473,542,1,83,224771402,489,47,5,16,69633,49,638,2
36,0,6,2879190,7823,371780,148,61449594,97427,1416,175,54745007,23165964,21591168,81697,10871,0,37,1090657065,717,28,22,16,56071,27,264,11
265,1,1,5596411,7355,236042,45,66401143,36181,2759,112,91075638,3786997,43835502,20063,13390,1,28,81366753,435,22,13,9,36549,9,588,1
903,1,6,9700344,6465,311438,143,5169949,33262,2178,139,26895998,46802774,18619183,78444,11146,1,77,356301550,875,38,13,9,63120,8,729,16
613,1,9,1007293,1497,209087,749,54303831,947,1981,90,47882983,29614873,68986587,11850,15809,1,20,670181599,635,22,18,19,8721,43,535,6
914,2,9,4774183,2555,165250,783,37527801,22,1329,450,60501413,38158568,19821251,984,19165,2,23,1111889144,958,22,17,9,66059,29,642,7
1013,1,0,3366612,5409,405881,631,88437118,1128,2007,84,94122434,5863077,54941842,50450,12431,1,4,1182631661,291,38,10,4,25257,5,242,14
603,0,4,8411855,2951,262678,339,16773468,79522,89,441,82814044,26735937,13139452,56700,15479,1,18,952470317,939,37,23,5,60442,44,152,15
604,1,6,5267180,1238,353972,412,98391612,32322,1767,286,31210908,40619545,1638533,72723,11183,2,37,174358242,610,21,24,15,47117,22,355,8
627,0,6,7807313,9165,298276,731,69580814,48929,1650,433,23013769,31557757,5380559,93392,18996,1,39,261531163,747,33,15,9,67258,49,596,13
483,1,7,2704238,4727,377864,519,8790784,81696,1032,237,54418372,74550584,7940959,20339,17583,2,42,1162933813,903,33,16,6,60662,14,580,19
125,0,1,2630708,3965,298254,343,1044423,9808,575,463,84919626,68940286,29140957,38481,10309,2,47,1120203221,555,36,16,16,62264,26,768,17
599,1,5,3494679,5686,189826,386,60574085,95148,2410,105,73124272,55309795,19821730,64351,16173,2,57,546572077,863,42,14,11,44591,8,540,14
673,3,5,5517209,9242,325724,472,8316308,52882,157,277,24095673,52036381,63538212,52839,10872,1,18,1336342697,546,28,23,12,58487,21,387,18
524,1,3,1767640,3701,415685,274,52850274,21725,197,62,5356465,78052230,43706827,64236,7032,1,61,841036981,603,32,9,5,53242,8,657,17
496,1,0,6723771,2780,326160,352,4610635,72534,1326,223,62118653,78368356,11853016,79619,4688,2,33,1126115111,450,43,7,6,12151,15,207,14
662,1,2,1285160,7398,46233,65,63820058,39950,744,284,97423351,54538621,30242519,48287,12854,2,73,139912331,154,47,23,5,45753,13,669,18
679,2,7,6080526,1588,496020,78,86686025,88954,2247,302,5118036,61733079,58345610,60306,4786,2,55,10806617,557,46,9,11,11224,14,356,16
148,1,2,5173036,2368,392007,597,19881139,83576,1893,182,78842639,42289693,17468514,52197,3681,2,55,159560076,977,34,19,16,60992,48,207,10
495,0,8,1425472,5789,197780,635,63659241,20557,2314,38,65162829,19026525,69059155,25435,19879,1,68,761019863,789,35,9,15,5550,1,213,10
857,1,2,48984,436,451448,201,9255404,21825,966,327,54740692,79354126,53460191,67621,8856,0,33,1255339819,750,35,24,7,69106,24,788,1
694,3,9,6556168,2828,224522,977,28120485,8998,2234,244,48442159,67093527,59692729,30837,6078,1,42,544456578,646,46,20,17,28643,31,536,1
388,2,8,1504384,1556,479653,661,40171675,36080,2575,68,55074558,48141063,39010223,81719,15862,0,58,299538527,354,45,23,4,12773,33,221,15
413,1,0,2230919,7570,106311,557,36693309,57797,1027,467,73807331,58405930,67602662,35495,12693,0,42,279519283,177,29,24,4,65561,37,287,11
